key,item
1,Beef
2,Beef
4,Beef
5,Beef
7,Beef
9,Beef
10,Beef
11,Beef
13,Beef
15,Beef
16,Beef
17,Beef
19,Beef
20,Beef
21,Beef
22,Beef
24,Beef
25,Beef
26,Beef
27,Beef
29,Beef
30,Beef
31,Beef
32,Beef
34,Beef
35,Beef
37,Beef
39,Beef
40,Beef
43,Beef
44,Beef
45,Beef
46,Beef
47,Beef
48,Beef
49,Beef
51,Beef
52,Beef
53,Beef
54,Beef
55,Beef
58,Beef
59,Beef
61,Beef
62,Beef
65,Beef
66,Beef
67,Beef
68,Beef
69,Beef
71,Beef
74,Beef
75,Beef
76,Beef
78,Beef
79,Beef
80,Beef
81,Beef
83,Beef
84,Beef
85,Beef
86,Beef
87,Beef
88,Beef
91,Beef
92,Beef
93,Beef
94,Beef
95,Beef
96,Beef
101,Beef
102,Beef
103,Beef
104,Beef
105,Beef
107,Beef
109,Beef
110,Beef
114,Beef
115,Beef
116,Beef
119,Beef
120,Beef
121,Beef
127,Beef
138,Beef
139,Beef
140,Beef
145,Beef
148,Beef
149,Beef
150,Beef
151,Beef
153,Beef
154,Beef
155,Beef
156,Beef
157,Beef
158,Beef
159,Beef
160,Beef
161,Beef
162,Beef
163,Beef
164,Beef
166,Beef
167,Beef
168,Beef
169,Beef
170,Beef
171,Beef
172,Beef
173,Beef
174,Beef
177,Beef
178,Beef
179,Beef
180,Beef
181,Beef
183,Beef
184,Beef
185,Beef
187,Beef
190,Beef
193,Beef
194,Beef
195,Beef
196,Beef
197,Beef
198,Beef
199,Beef
200,Beef
201,Beef
202,Beef
203,Beef
204,Beef
209,Beef
210,Beef
224,Beef
225,Beef
226,Beef
227,Beef
228,Beef
234,Beef
236,Beef
238,Beef
240,Beef
245,Beef
246,Beef
248,Beef
249,Beef
250,Beef
251,Beef
252,Beef
253,Beef
255,Beef
257,Beef
270,Beef
277,Beef
278,Beef
279,Beef
281,Beef
282,Beef
287,Beef
288,Beef
289,Beef
290,Beef
297,Beef
298,Beef
330,Beef
331,Beef
338,Beef
339,Beef
347,Beef
349,Beef
369,Beef
1,Pico
2,Pico
3,Pico
4,Pico
5,Pico
8,Pico
9,Pico
10,Pico
12,Pico
13,Pico
15,Pico
16,Pico
17,Pico
20,Pico
21,Pico
23,Pico
24,Pico
25,Pico
26,Pico
27,Pico
31,Pico
32,Pico
34,Pico
35,Pico
36,Pico
37,Pico
40,Pico
42,Pico
45,Pico
47,Pico
48,Pico
51,Pico
52,Pico
53,Pico
54,Pico
63,Pico
64,Pico
65,Pico
66,Pico
67,Pico
68,Pico
69,Pico
70,Pico
